,Vehicle_Application_Status,Application ID,Application Status,Property Type,Property Sub Type,OnSite Sanitation Type,Door Number,Street Name,City,Pincode,Locality,District,State,Slum Name,Application Source,Desludging Entity,Longitude,Latitude,Geo Location Provided,Desludging Vehicle Number,Vehicle Type,Vehicle Capacity,Waste Collected,Waste Dumped,Vehicle In DateTime,Vehicle  Out DateTime,Fstp Plant Name,Payment Amount,Payment Status,Payment Source,Payment Instrument Type,Application Submitted Time,Pending payment Submitted Time,Assigned DSO Submitted Time,DSO Rejected Submitted Time,DSO Inprogress Submitted Time,Pending DSO Approval Submitted Time,Rejected Date Time,Cancelled Date Time,Citizen feedback Submitted Date Time,Application Completed Time,Rating,Scheduled Time,Waiting for disposalTime,Disposed Time,SLA Planned (In Days),SLA achieved
10,Disposed,FSM-TST-2021-12-07-000015,Completed Request,Residential,Independent house,Conventional Spectic tank,,,testing,,Main Road Abadpura,testing,Punjab,,Online,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,07/12/2021 18:00:00,08/12/2021 00:10:00,,0,N/a,Counter,N/A,07/12/2021 20:20:20,07/12/2021 20:35:10,07/12/2021 20:38:51,N/A,07/12/2021 20:43:35,07/12/2021 20:40:12,N/A,N/A,07/12/2021 20:43:49,07/12/2021 20:45:28,4,,,,2,0.0
11,Disposed,FSM-TST-2021-12-07-000016,Completed Request,Residential,Independent house,Conventional Spectic tank,N/A,N/A,testing,,"Gali No,. 2 To Gali No. 6",testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,12/12/2021 16:31:00,13/12/2021 02:06:00,,0,N/a,Counter,N/A,08/12/2021 00:01:58,08/12/2021 00:01:41,08/12/2021 00:02:21,N/A,08/12/2021 00:04:24,08/12/2021 00:03:48,N/A,N/A,08/12/2021 00:08:00,08/12/2021 00:10:21,4,,,,2,0.0
12,Disposed,FSM-TST-2021-12-12-000025,Citizen feedback pending,Residential,Independent house,N/A,N/A,N/A,testing,,Labour Court Gali Panj Peer,testing,Punjab,Haridakhandi Bada Sahi,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,16/12/2021 17:20:00,16/12/2021 19:45:00,,0,N/a,Counter,N/A,13/12/2021 02:01:13,13/12/2021 02:01:13,13/12/2021 02:01:51,N/A,13/12/2021 02:02:45,13/12/2021 02:02:29,N/A,N/A,13/12/2021 02:04:12,,,,,,2,N/A
13,Scheduled,FSM-TST-2021-12-22-000063,Pending for DSO Approval,Residential,Independent house,Conventional Spectic tank,D2,S2,testing,143001,Main Road Abadpura,testing,Punjab,,Counter,Testing DSO,,,No,N/A,Bolero Pickup,0,0,0,N/A,N/A,,0,N/a,Counter,N/A,22/12/2021 20:52:28,22/12/2021 20:52:28,22/12/2021 20:52:36,N/A,N/A,22/12/2021 20:53:14,N/A,N/A,N/A,,,,,,2,N/A
14,Disposed,FSM-TST-2021-12-15-000050,Citizen feedback pending,Residential,Independent house,N/A,xyz,Street xyz,testing,,Main Road Abadpura,testing,Punjab,,Online,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,31/12/2021 19:32:00,31/12/2021 21:26:00,,0,N/a,Counter,N/A,15/12/2021 20:34:55,15/12/2021 20:39:58,15/12/2021 20:40:31,N/A,16/12/2021 19:40:34,15/12/2021 20:41:10,N/A,N/A,16/12/2021 19:43:27,,,,,,2,N/A
15,Disposed,FSM-TST-2021-12-31-000084,DSO Inprogress,Residential,Independent house,N/A,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,31/12/2021 19:32:00,31/12/2021 21:41:00,,0,N/a,Counter,N/A,31/12/2021 21:32:32,31/12/2021 21:32:32,31/12/2021 21:32:42,N/A,31/12/2021 21:33:29,31/12/2021 21:33:04,N/A,N/A,N/A,,,,,,2,N/A
16,Disposed,FSM-TST-2022-01-03-000086,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,4321,ABCD street,testing,,Main Road Abadpura,testing,Punjab,Kathagada juanga sahi,Online,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,11/01/2022 07:52:00,11/01/2022 15:42:00,,0,N/a,Counter,N/A,03/01/2022 15:13:10,03/01/2022 15:16:16,03/01/2022 15:16:48,N/A,03/01/2022 15:19:28,03/01/2022 15:18:39,N/A,N/A,03/01/2022 15:22:59,,,,,,2,N/A
17,Disposed,FSM-TST-2021-12-31-000085,Citizen feedback pending,Residential,Independent house,N/A,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,03/01/2022 15:23:00,03/01/2022 15:24:00,,0,N/a,Counter,N/A,31/12/2021 21:37:22,31/12/2021 21:37:22,31/12/2021 21:37:29,N/A,31/12/2021 21:37:56,31/12/2021 21:37:47,N/A,N/A,31/12/2021 21:39:16,,,,,,2,N/A
18,Scheduled,FSM-TST-2022-02-24-000486,DSO Inprogress,Commercial,Hotel,Conventional Spectic tank,N/A,ddd,testing,,Mohalla Vari Vatt,testing,Punjab,,Counter,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,0,N/a,Counter,N/A,24/02/2022 19:05:43,24/02/2022 19:05:47,24/02/2022 19:06:10,N/A,24/02/2022 19:08:20,24/02/2022 19:06:26,N/A,N/A,N/A,,,,,,2,N/A
19,Scheduled,FSM-TST-2022-01-11-000132,DSO Inprogress,Residential,Independent house,N/A,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,0,N/a,Counter,N/A,11/01/2022 22:17:58,11/01/2022 22:17:58,12/01/2022 03:52:45,N/A,12/01/2022 03:53:08,12/01/2022 03:52:59,N/A,N/A,N/A,,,,,,2,N/A
20,Scheduled,FSM-TST-2022-01-11-000114,DSO Inprogress,Residential,Independent house,N/A,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,0,N/a,Counter,N/A,11/01/2022 15:48:13,11/01/2022 15:47:50,11/01/2022 15:48:09,N/A,11/01/2022 15:49:11,11/01/2022 15:48:45,N/A,N/A,N/A,,,,,,2,N/A
21,Disposed,FSM-TST-2022-01-11-000109,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,N/A,N/A,testing,,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,11/01/2022 16:52:00,11/01/2022 17:58:00,,0,N/a,Counter,N/A,11/01/2022 15:32:32,11/01/2022 15:32:32,11/01/2022 15:33:32,N/A,11/01/2022 15:38:43,11/01/2022 15:35:01,N/A,N/A,11/01/2022 15:40:40,,,,,,2,N/A
22,Disposed,FSM-TST-2022-01-11-000213,DSO Inprogress,Residential,Independent house,N/A,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,11/01/2022 19:32:00,12/01/2022 03:56:00,,0,N/a,Counter,N/A,12/01/2022 03:36:13,12/01/2022 03:36:13,12/01/2022 03:50:42,N/A,12/01/2022 03:51:11,12/01/2022 03:51:00,N/A,N/A,N/A,,,,,,2,N/A
23,Scheduled,FSM-TST-2022-01-12-000216,DSO Inprogress,Residential,Apartment,N/A,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,0,N/a,Counter,N/A,12/01/2022 15:38:14,12/01/2022 15:37:17,12/01/2022 15:37:28,N/A,12/01/2022 15:38:30,12/01/2022 15:38:07,N/A,N/A,N/A,,,,,,2,N/A
24,Disposed,FSM-TST-2022-01-12-000215,Citizen feedback pending,Residential,Independent house,N/A,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,12/01/2022 07:30:00,12/01/2022 20:55:00,,0,N/a,Counter,N/A,12/01/2022 15:32:01,12/01/2022 15:32:01,12/01/2022 15:33:26,N/A,12/01/2022 15:34:02,12/01/2022 15:33:45,N/A,N/A,12/01/2022 15:34:12,,,,,,2,N/A
25,Disposed,FSM-DKN-2022-01-04-000087,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,N/A,Housing Board,Dhenkanal,759001,Dhenkanal Town,Dhenkanal,Punjab,,Telephone,Dharitri ALF,,,No,OD -06E- 9507,,3000,3000,3000,11/02/2022 15:33:00,11/02/2022 18:33:00,,0,N/a,Counter,N/A,04/01/2022 17:14:43,04/01/2022 17:14:43,04/01/2022 17:25:09,N/A,04/01/2022 17:33:10,04/01/2022 17:29:08,N/A,N/A,10/01/2022 21:59:24,,,,,,2,N/A
26,Disposed,FSM-TST-2022-01-11-000121,Citizen feedback pending,Residential,Independent house,N/A,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,15/01/2022 07:32:00,15/01/2022 17:15:00,,0,N/a,Counter,N/A,11/01/2022 17:52:12,11/01/2022 17:51:46,11/01/2022 17:52:38,N/A,11/01/2022 17:53:12,11/01/2022 17:52:58,N/A,N/A,11/01/2022 17:56:19,,,,,,2,N/A
27,Disposed,FSM-BLS-2022-01-15-000250,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,123,Remuna Golei,Balasore,756055,Other,Balasore,Punjab,,Telephone,Asha jyoti ALF,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,15/01/2022 15:50:00,15/01/2022 16:17:00,,0,N/a,Counter,N/A,15/01/2022 14:55:18,15/01/2022 14:55:20,15/01/2022 14:56:20,N/A,15/01/2022 14:57:31,15/01/2022 14:57:03,N/A,N/A,15/01/2022 14:59:49,,,,,,2,N/A
28,Disposed,FSM-BLS-2022-01-20-000261,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,21,Pathan Mohalla,Balasore,,Other,Balasore,Punjab,,Telephone,Asha jyoti ALF,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,20/01/2022 16:45:00,20/01/2022 17:20:00,,0,N/a,Counter,N/A,20/01/2022 14:50:13,20/01/2022 14:49:52,20/01/2022 14:50:16,N/A,20/01/2022 14:50:52,20/01/2022 14:50:40,N/A,N/A,20/01/2022 17:26:41,,,,,,2,N/A
29,Scheduled,FSM-TST-2022-01-15-000252,DSO Inprogress,Residential,Independent house,N/A,N/A,ddd,testing,,"Gali No,. 2 To Gali No. 6",testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,0,N/a,Counter,N/A,15/01/2022 16:57:29,15/01/2022 16:57:29,15/01/2022 17:00:25,N/A,15/01/2022 17:01:23,15/01/2022 17:01:09,N/A,N/A,N/A,,,,,,2,N/A
30,Disposed,FSM-BLS-2022-01-15-000251,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,1,Proof Road,Balasore,756003,Other,Balasore,Punjab,,Telephone,Asha jyoti ALF,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,15/01/2022 18:10:00,15/01/2022 18:38:00,,0,N/a,Counter,N/A,15/01/2022 16:45:00,15/01/2022 16:44:23,15/01/2022 16:44:50,N/A,15/01/2022 16:48:40,15/01/2022 16:45:52,N/A,N/A,15/01/2022 17:00:57,,,,,,2,N/A
31,Disposed,FSM-BLS-2022-01-20-000263,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,123,Sunhat Ward No 02,Balasore,,Sunhat(P),Balasore,Punjab,,Telephone,Green circle Environment Pvt. Ltd,,,No,OD 01N 8772,TATA LPT709/34,3000,3000,3000,20/01/2022 16:40:00,20/01/2022 17:20:00,,0,N/a,Counter,N/A,20/01/2022 17:42:44,20/01/2022 17:42:18,20/01/2022 17:42:43,N/A,20/01/2022 17:44:09,20/01/2022 17:43:56,N/A,N/A,20/01/2022 17:44:18,,,,,,2,N/A
32,Scheduled,FSM-TST-2022-01-19-000254,DSO Inprogress,Commercial,Bank,Conventional Spectic tank,N/A,N/A,testing,,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,0,N/a,Counter,N/A,19/01/2022 16:41:23,19/01/2022 16:41:23,19/01/2022 16:41:37,N/A,19/01/2022 17:12:39,19/01/2022 16:42:09,N/A,N/A,N/A,,,,,,2,N/A
33,Scheduled,FSM-DKN-2022-01-12-000218,DSO Inprogress,Residential,Independent house,Conventional Spectic tank,N/A,Mina Bazar,Dhenkanal,759001,Dhenkanal Town,Dhenkanal,Punjab,,Counter,Dharitri ALF,,,No,OD -06E- 9507,,3000,0,0,N/A,N/A,,0,N/a,Counter,N/A,12/01/2022 16:41:30,12/01/2022 16:41:30,12/01/2022 17:17:39,N/A,19/01/2022 19:03:49,12/01/2022 17:28:57,N/A,N/A,N/A,,,,,,2,N/A
34,Scheduled,FSM-DKN-2022-01-12-000219,DSO Inprogress,Residential,Independent house,Conventional Spectic tank,N/A,Mina Bazar,Dhenkanal,759001,Dhenkanal Town,Dhenkanal,Punjab,,Counter,Dharitri ALF,,,No,OD -06E- 9507,,3000,0,0,N/A,N/A,,0,N/a,Counter,N/A,12/01/2022 16:54:04,12/01/2022 16:53:05,19/01/2022 19:09:55,N/A,19/01/2022 19:10:37,19/01/2022 19:10:24,N/A,N/A,N/A,,,,,,2,N/A
35,Scheduled,FSM-DKN-2022-01-19-000256,DSO Inprogress,Institutional,Temple,Conventional Spectic tank,N/A,near ramamurthy nagar sig,Dhenkanal,560043,Dhenkanal Town,Dhenkanal,Punjab,,Telephone,Dharitri ALF,,,No,OD -06E- 9507,,3000,0,0,N/A,N/A,,0,N/a,Counter,N/A,19/01/2022 21:12:18,19/01/2022 21:12:18,19/01/2022 21:12:44,N/A,19/01/2022 21:13:21,19/01/2022 21:13:11,N/A,N/A,N/A,,,,,,2,N/A
36,Scheduled,FSM-TST-2022-01-19-000257,DSO Inprogress,Commercial,Shopping mall,Conventional Spectic tank,776,Outer ring road,testing,,"Gali No,. 2 To Gali No. 6",testing,Punjab,,Online,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,0,N/a,Counter,N/A,19/01/2022 21:23:04,19/01/2022 21:27:09,19/01/2022 21:31:06,N/A,19/01/2022 21:33:56,19/01/2022 21:32:58,N/A,N/A,N/A,,,,,,2,N/A
37,Disposed,FSM-TST-2022-01-19-000253,DSO Inprogress,Residential,Apartment,N/A,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,19/01/2022 21:44:00,19/01/2022 21:45:00,,0,N/a,Counter,N/A,19/01/2022 16:32:16,19/01/2022 16:31:26,19/01/2022 16:31:50,N/A,19/01/2022 16:33:18,19/01/2022 16:32:50,N/A,N/A,N/A,,,,,,2,N/A
38,Disposed,FSM-BLS-2022-01-20-000259,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,12,Remuna,Balasore,,Other,Balasore,Punjab,,Telephone,Asha jyoti ALF,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,20/01/2022 14:46:00,20/01/2022 15:10:00,,0,N/a,Counter,N/A,20/01/2022 14:37:08,20/01/2022 14:36:48,20/01/2022 14:37:28,N/A,20/01/2022 14:41:05,20/01/2022 14:40:37,N/A,N/A,20/01/2022 14:41:21,,,,,,2,N/A
39,Disposed,FSM-BLS-2022-01-20-000266,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,N/A,N/A,Balasore,,Other,Balasore,Punjab,,Counter,Green circle Environment Pvt. Ltd,,,No,OD 01N 8771,TATA LPT709/34,3000,3000,3000,20/01/2022 20:40:00,20/01/2022 21:10:00,,0,N/a,Counter,N/A,20/01/2022 21:00:42,20/01/2022 21:00:42,20/01/2022 21:01:04,N/A,20/01/2022 21:02:04,20/01/2022 21:01:42,N/A,N/A,20/01/2022 21:02:22,,,,,,2,N/A
40,Disposed,FSM-BLS-2022-01-20-000260,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,232,chandan bagicha,Balasore,,Sunhat(P),Balasore,Punjab,,Telephone,Asha jyoti ALF,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,20/01/2022 15:30:00,20/01/2022 15:46:00,,0,N/a,Counter,N/A,20/01/2022 14:47:16,20/01/2022 14:47:16,20/01/2022 14:47:38,N/A,20/01/2022 14:48:12,20/01/2022 14:48:01,N/A,N/A,20/01/2022 14:48:30,,,,,,2,N/A
41,Disposed,FSM-BLS-2022-01-20-000267,Citizen feedback pending,Institutional,Police station,Conventional Spectic tank,N/A,Port Road,Balasore,756003,Purunabalasore(P),Balasore,Punjab,,Telephone,Asha jyoti ALF,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,20/01/2022 22:15:00,20/01/2022 22:49:00,,0,N/a,Counter,N/A,20/01/2022 21:30:07,20/01/2022 21:30:07,20/01/2022 21:30:24,N/A,20/01/2022 21:31:21,20/01/2022 21:31:07,N/A,N/A,20/01/2022 21:31:29,,,,,,2,N/A
42,Disposed,FSM-BLS-2022-01-20-000264,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,123,Dewan patra Balasore,Balasore,,Other,Balasore,Punjab,,Counter,Balasore Municipality,,,No,OR 01F 3861,,3000,3000,3000,20/01/2022 17:00:00,20/01/2022 17:45:00,,0,N/a,Counter,N/A,20/01/2022 18:46:25,20/01/2022 18:45:58,20/01/2022 18:46:28,N/A,20/01/2022 18:48:29,20/01/2022 18:48:15,N/A,N/A,20/01/2022 18:48:35,,,,,,2,N/A
43,Disposed,FSM-BLS-2022-01-23-000269,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,23,Bali bila,Balasore,,Other,Balasore,Punjab,,Telephone,Asha jyoti ALF,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,23/01/2022 16:35:00,23/01/2022 17:15:00,,0,N/a,Counter,N/A,23/01/2022 14:10:47,23/01/2022 14:09:47,23/01/2022 14:10:24,N/A,23/01/2022 14:12:26,23/01/2022 14:12:14,N/A,N/A,23/01/2022 19:07:45,,,,,,2,N/A
44,Disposed,FSM-BLS-2022-01-20-000265,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,N/A,,Balasore,,Sahadevkhunta(P),Balasore,Punjab,,Counter,Balasore Municipality,,,No,OR 01C 2930,,3000,3000,3000,20/01/2022 21:00:00,20/01/2022 21:35:00,,0,N/a,Counter,N/A,20/01/2022 20:55:53,20/01/2022 20:55:24,20/01/2022 20:55:45,N/A,20/01/2022 20:58:34,20/01/2022 20:56:44,N/A,N/A,20/01/2022 20:58:45,,,,,,2,N/A
45,Disposed,FSM-BLS-2022-01-21-000268,Citizen feedback pending,Residential,Apartment,Conventional Spectic tank,N/A,N/A,Balasore,756001,Sahadevkhunta(P),Balasore,Punjab,,Counter,Balasore Municipality,,,No,OR 01C 2930,,3000,3000,3000,21/01/2022 17:30:00,21/01/2022 18:15:00,,0,N/a,Counter,N/A,21/01/2022 15:34:02,21/01/2022 15:33:06,21/01/2022 15:33:36,N/A,21/01/2022 15:34:27,21/01/2022 15:34:12,N/A,N/A,21/01/2022 19:37:59,,,,,,2,N/A
46,Disposed,FSM-BLS-2022-01-24-000270,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,123,N/A,Balasore,756003,Kasaba,Balasore,Punjab,,Telephone,Asha jyoti ALF,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,24/01/2022 16:20:00,24/01/2022 16:57:00,,0,N/a,Counter,N/A,24/01/2022 18:25:21,24/01/2022 18:25:21,24/01/2022 18:25:43,N/A,24/01/2022 18:30:14,24/01/2022 18:30:05,N/A,N/A,24/01/2022 19:02:31,,,,,,2,N/A
47,Disposed,FSM-TST-2022-01-19-000258,Completed Request,Institutional,Temple,Septic tank with soak pit,N/A,near ramamurthy nagar sig,testing,560043,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,27/01/2022 20:26:00,27/01/2022 20:27:00,,0,N/a,Counter,N/A,19/01/2022 21:49:48,19/01/2022 21:49:48,19/01/2022 21:52:38,N/A,19/01/2022 21:54:22,19/01/2022 21:53:31,N/A,N/A,19/01/2022 21:54:48,19/01/2022 21:56:11,4,,,,2,0.0
48,Disposed,FSM-BLS-2022-01-24-000272,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,12,Remuna GP,Balasore,756002,Mallikashpur(P),Balasore,Punjab,,Counter,Balasore Municipality,,,No,OR 01C 2930,,3000,3000,3000,24/01/2022 19:50:00,24/01/2022 20:20:00,,0,N/a,Counter,N/A,24/01/2022 19:04:14,24/01/2022 19:04:14,24/01/2022 19:04:29,N/A,24/01/2022 19:04:47,24/01/2022 19:04:42,N/A,N/A,25/01/2022 00:53:25,,,,,,2,N/A
49,Disposed,FSM-BLS-2022-01-24-000271,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,234,Bateswar Road,Balasore,756002,Chandragadia,Balasore,Punjab,,Counter,Balasore Municipality,,,No,OR 01C 2930,,3000,3000,3000,24/01/2022 17:40:00,24/01/2022 18:35:00,,0,N/a,Counter,N/A,24/01/2022 19:00:35,24/01/2022 19:00:35,24/01/2022 19:01:02,N/A,24/01/2022 19:02:05,24/01/2022 19:01:58,N/A,N/A,24/01/2022 19:02:17,,,,,,2,N/A
