"ulb","servicecode","description","status","createddate","lastmodifieddate"
"Cuttack","RegardingPayment","Trade license fee paid but Challan & Provisional License not generated. Kindly support","open","2021-11-11 20:39:38+05:30","2021-11-11 20:39:38+05:30"
"Cuttack","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","kindly Please solve the problem immediately...","open","2021-11-16 12:50:50+05:30","2021-11-16 12:50:50+05:30"
"Cuttack","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","KINDLY PLEASE SOLVE THE PROBLEM AS SOON AS POSSIBLE","open","2021-11-17 15:33:43+05:30","2021-11-17 15:33:43+05:30"
"Cuttack","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","kindly please solve the problem...(Reminder)","open","2021-11-18 14:07:04+05:30","2021-11-18 14:07:04+05:30"
"Cuttack","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Amount deducted but TL challan not generated","open","2021-11-18 15:30:26+05:30","2021-11-18 15:30:26+05:30"
"Sambalpur","WronginformationinPropertyTaxassessment","My Holding No is 413 under Ward No 25 not showing  I am regularly paying from FY 2015 16 to 202122","open","2021-11-18 22:42:50+05:30","2022-01-10 19:46:15+05:30"
"Puri","Nonreceiptofbills","BILL IS NOT SERVED MORE THAN 3 MONTH","open","2021-11-20 04:48:08+05:30","2021-11-20 04:48:08+05:30"
"Keonjhargarh","DelayinRectificationofMarriageCertificate","MARRIAGE CERTIFICATE","open","2021-11-20 11:38:30+05:30","2021-11-20 11:38:30+05:30"
"Cuttack","DrainageOpenSurfaceAnyothergrievance","Cover slab","open","2021-11-20 21:20:00+05:30","2021-11-20 21:20:00+05:30"
"Khordha","ProvidingofPipeWater","Since 8th Feb 2016, sanction for water supply was approved but since then after multiple follow up no water connection was provided.","open","2021-11-21 21:27:10+05:30","2021-11-21 21:27:10+05:30"
"Cuttack","Nonreceiptofbills","After switching from odisha one to sujog,due water bill not showing.","open","2021-11-23 19:19:32+05:30","2021-12-13 23:56:51+05:30"
"Kendrapara","RegardingPayment","While making payment it was shwn payment made succesfully but still showing payment not paid ","open","2021-11-24 11:44:14+05:30","2021-11-24 11:44:14+05:30"
"Chatrapur","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Amount of Rs.1000 debited from my bank account but it is not updated for payment.","open","2021-11-25 17:57:00+05:30","2021-11-29 17:41:38+05:30"
"Nimapara","IssuanceofFreshorRenewalTradeLicense","Applied from October month till yet pending and no action taken yet by Nimapara NAC Authority","open","2021-11-26 21:27:53+05:30","2021-11-26 21:27:53+05:30"
"Kuchinda","Areanotcoveredwithstreetlightsrequestfornewstreetlights","request for new street lights","open","2021-11-30 13:02:27+05:30","2021-11-30 13:02:27+05:30"
"Choudwar","Rectificationinnameandaddress","The address for the connection needs correction for my consumer ID 55010076","open","2021-11-30 13:47:08+05:30","2021-11-30 13:47:08+05:30"
"Nayagarh","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","APPLICATION NO TL NGR 2021 11 13001347 NAME GOPINATH SAHOO AMIUNT DEBIT BUT NOT UPDATE TILL DATE","resolved","2021-11-30 19:47:03+05:30","2021-12-09 10:53:01+05:30"
"Kantabanji","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Trade name khandelwal kirana store","open","2021-12-01 08:51:51+05:30","2022-01-14 22:43:45+05:30"
"Bargarh","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Amount debited from bank but its not updated ","rejected","2021-12-01 13:33:20+05:30","2022-01-15 16:16:04+05:30"
"Berhampur","IssuanceofFreshorRenewalTradeLicense","Still not issued, pending for document verification.","open","2021-12-01 13:34:55+05:30","2022-01-13 15:32:43+05:30"
"Bargarh","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Amount not updated ","rejected","2021-12-02 09:17:14+05:30","2022-01-15 16:14:26+05:30"
"Athmallik","WaterBillrelatedAnyothergrievance","At the time of pay my water bill pay was successful from my bank account but here it showed link expired. My full amount has been deducted.","open","2021-12-03 05:36:30+05:30","2021-12-03 05:36:30+05:30"
"Cuttack","IssuanceofFreshorRenewalTradeLicense","I have applied one Trade License on 8th November, 2021 with all details and documents that was asked in the Sujog Portal. The status is still in 'Pending for Document Verification' stage. ","open","2021-12-03 11:38:45+05:30","2021-12-03 11:38:45+05:30"
"Cuttack","BuildingPlanApproval","Unable to upload the application its been more than 2 months since the implementation of Sujog online systems","open","2021-12-06 18:05:07+05:30","2021-12-06 18:05:07+05:30"
"Vyasanagar","RepairingofStreetLightsotherthanmainroads","STREET LIGHT DAMAGED ,KINDLY REPAIR THIS","open","2021-12-06 21:17:08+05:30","2021-12-06 21:17:08+05:30"
"Angul","Drainchocking","others","open","2021-12-08 10:15:58+05:30","2021-12-08 10:15:58+05:30"
"Cuttack","WaterBillrelatedAnyothergrievance","Hindol kothi chhak Tulsipur cuttack","open","2021-12-08 10:23:34+05:30","2021-12-08 10:23:34+05:30"
"Angul","Cleaningofwaterentrancearea","cleaning","open","2021-12-08 10:39:55+05:30","2021-12-08 10:39:55+05:30"
"Cuttack","InformationregardingtheAssessmentofHoldingTax","I have got my holdig tax number 439 by E by 1 since 2019 but i am not able to pay the property tax in sujog platform as its asking for a unique property id which i dont have. How can i pay the property tax ","open","2021-12-13 18:19:12+05:30","2021-12-13 18:19:12+05:30"
"Jeypore","Areanotassessedproperly","They are extorting more rupees by telling lies. We are being cheated, please pay attention.","open","2021-12-13 20:24:32+05:30","2021-12-13 20:24:32+05:30"
"Cuttack","Paidreceiptdetailsnotreflected","ULB CTC , Payment paid through Odisha online on 24 Feb 2021, but Property details are NOT available on SUJOG Application. ","open","2021-12-15 13:40:56+05:30","2021-12-15 13:40:56+05:30"
"Cuttack","WronginformationinPropertyTaxassessment","I Mr Rabindra Nath Sahoo paid the Holding tax for the year FY2122.But in the receipt the billing period is showing for the year FY1920","open","2021-12-16 12:09:15+05:30","2021-12-16 12:09:15+05:30"
"Balugaon","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","PAYMENT NOT REFOUNT","open","2021-12-18 12:36:39+05:30","2021-12-18 12:36:39+05:30"
"Khordha","InstallationofWatersupplystreetPost","Not provided water connection","open","2021-12-20 10:37:17+05:30","2022-01-01 01:24:04+05:30"
"Berhampur","BuildingPlanApproval","error in server","open","2021-12-20 11:57:45+05:30","2021-12-20 11:57:45+05:30"
"Ganjam","IssuanceofFreshorRenewalTradeLicense","i applied for a trade license on date  08122021. it's thirteen days gone till this is in document verification pending. i request to the authority can you please solve this problem as soon as possible.","open","2021-12-21 18:52:13+05:30","2021-12-21 18:52:13+05:30"
"Rourkela","TradewithoutLicense","At the time of apply, trade commencement date not accepting as original, only current date accepting on software  ","open","2021-12-21 23:03:24+05:30","2021-12-21 23:03:24+05:30"
"Rourkela","InformationregardingtheAssessmentofHoldingTax","We have submitted 2 application in the month of March 2021 and August 2021 and have also met Mr. Pradhan regarding reassessment of our house BL52 Basanti Colony Rourkela. Please check the reassessment status.","open","2021-12-23 12:07:20+05:30","2022-01-19 13:06:34+05:30"
"Phulbani","BusinessTradeLicenseAnyothergrievance","WHY LENGARASAHI VILLAGE NOT THERE IN VILLAGE LIST & i want to change my village address from salunki to lengarasahi","open","2021-12-23 12:07:31+05:30","2021-12-23 12:07:31+05:30"
"Rourkela","InformationregardingtheAssessmentofHoldingTax","We have submitted 2 application in the month of March 2021 and August 2021 and have also met Mr. Pradhan regarding reassessment of our house BL52 Basanti Colony Rourkela. Please check the reassessment status.","open","2021-12-23 12:08:02+05:30","2022-01-19 13:05:23+05:30"
"Berhampur","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","JATIN KUMAR CHOUDHURY","open","2021-12-24 11:46:36+05:30","2021-12-24 11:58:00+05:30"
"Talcher","IssuanceofFreshorRenewalTradeLicense","i don't do final submit.","open","2021-12-24 19:32:00+05:30","2021-12-24 19:32:00+05:30"
"Jatni","RectificationOfNameAddress","Spelling error in name against property id PT JTN 356214. Kindly update the name and address as per the proof of identity submitted.","open","2021-12-26 00:25:40+05:30","2021-12-26 00:25:40+05:30"
"Jatni","Rectificationinnameandaddress","Error in name against consumer number   WS/JTN/1851795. Kindly Update name and address as per proof of identity submitted. Thank you. ","open","2021-12-26 00:36:49+05:30","2021-12-26 00:36:49+05:30"
"Rourkela","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","AMOUNT PAID BUT NOT SHOWING. ","open","2021-12-27 18:02:53+05:30","2021-12-27 18:02:53+05:30"
"Cuttack","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","TL FEE DEDUCTED FROM BANK ACCOUNT BUT CHALLAN & PROVISIONAL TL NOT GENERATED","open","2021-12-28 14:25:43+05:30","2021-12-28 14:25:43+05:30"
"Puri","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","AMOUNT DEBITED BUT NOT CLEAR","open","2021-12-28 19:57:12+05:30","2021-12-28 19:57:12+05:30"
"Cuttack","Disputerelatedtoarrearspenaltycharged","My Old Water Consumer No 2010922 and the New Consumer No. WS/CTC/1728504.  August Bill paid in 04.09.2021 in OdishaOne Portal for Rs. 138 against Consumer ID No. 2901022,  has not been reflected in Sujog Portal.","open","2021-12-29 17:58:25+05:30","2021-12-29 17:58:25+05:30"
"Cuttack","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Rs.5000 has debited but challan copy provisional trade license not generated","open","2021-12-30 11:00:40+05:30","2021-12-30 11:00:40+05:30"
"Cuttack","WaterBillrelatedAnyothergrievance","WATER BILL FOR CON NO 2001016 FOR Rs. 414 PAID ON 29.12.2021 BUT NOT CREDITED. MY TRANSACTION No. 136311590099. PLEASE UPDATE THE SAME.","open","2021-12-30 15:01:51+05:30","2021-12-30 15:01:51+05:30"
"Puri","RegistrationofBirthandDeathCertificate","I am unable to find the registration number of death of my father Sripati Mohapatra. Date of decease was 7th May 2007. Pls guide me","open","2021-12-31 14:06:21+05:30","2021-12-31 14:06:21+05:30"
"Sundargarh","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","payment has done through NEFT from Bank one week ago and still its showing not paid ..please get updated as soon as possible ..","open","2022-01-03 12:26:42+05:30","2022-01-17 15:45:11+05:30"
"Puri","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Trade license amount pending til 9days","open","2022-01-04 15:13:51+05:30","2022-01-04 15:21:19+05:30"
"Puri","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Jagannath villa ","open","2022-01-04 19:15:14+05:30","2022-01-04 19:15:14+05:30"
"Cuttack","Nonreceiptofbills","Water bill not received from october 2021","open","2022-01-04 20:01:00+05:30","2022-01-04 20:01:00+05:30"
"Sonepur","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","amount debit","open","2022-01-05 16:40:58+05:30","2022-01-05 16:40:58+05:30"
"Chatrapur","PaymentofBills","PAYMENT PAID","open","2022-01-06 12:57:10+05:30","2022-01-06 12:57:10+05:30"
"Cuttack","Nonreceiptofbills","No bill is reflecting for payment","open","2022-01-07 09:54:45+05:30","2022-01-07 09:54:45+05:30"
"Kotpad","Streetlightsnotfunctioning","Old cfl light so not lighting properly","open","2022-01-07 22:18:53+05:30","2022-01-07 22:18:53+05:30"
"Khordha","PropertyTaxHoldingTaxrelatedAnyothergrievance","WHILE PROCEEDING TO PAY PROPERTY TAX, NEITHER THE MONTHLY NOR THE ANNUAL TAX AMOUNT IS NOT AVAILABLE","open","2022-01-08 11:02:12+05:30","2022-01-08 11:02:12+05:30"
"Vyasanagar","DelayinIssuanceofMarriageCertificate","I have applied for Marriage registration 15 days back but till now no action has been taken.","open","2022-01-10 10:37:41+05:30","2022-01-17 10:21:53+05:30"
"Jharsuguda","RegardingPayment","Application No. TL JRS 2022 01 10 005022. Payment of Rs. 1000 was made on 10 1 22 via netbanking ref number 0157215292. The same has not been updated. Please do the same so that i can print my trade license","open","2022-01-10 17:53:10+05:30","2022-01-10 17:53:10+05:30"
"Puri","BusinessTradeLicenseAnyothergrievance","New Trade License Apply  2 week but Trade Licence Certificate no issue only show comment  pending for field verification  please Licence Certificate issue kindly it s very urgent for our banking businesses","open","2022-01-12 00:17:19+05:30","2022-01-12 12:20:00+05:30"
"Bhawanipatna","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Diducted online on Portal Rs. 2000.00 Amount from debit card no 6079091061013993. But not reflected in SUJOG SUCESSFUL PAYMET. Pls update payment.","open","2022-01-12 00:51:29+05:30","2022-01-12 23:29:17+05:30"
"Paradeep","Removalofdeadanimal","Dead Animal","resolved","2022-01-13 17:14:35+05:30","2022-01-19 13:26:31+05:30"
"Paradeep","CleaningofopenSWD","CLEANING OF DRAINS","resolved","2022-01-13 17:34:51+05:30","2022-01-19 13:25:36+05:30"
"Khordha","Rectificationinnameandaddress","Address and Name needs to be corrected. We are unable to pay bill online after transfer of payment info to sujog platform.","open","2022-01-13 20:34:00+05:30","2022-01-13 20:34:00+05:30"
"Khordha","Rectificationinnameandaddress","Water bill update.","open","2022-01-13 20:40:45+05:30","2022-01-13 20:40:45+05:30"
"Berhampur","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Amount paid..but not reflected","open","2022-01-14 13:48:33+05:30","2022-01-14 13:48:33+05:30"
"Junagarh","RegardingPayment","Trade license payment complete and money debited from my account but not complete and showing payment pending","open","2022-01-15 14:54:12+05:30","2022-01-15 14:54:12+05:30"
"Sambalpur","RepairingofStreetLightsotherthanmainroads","light is not working","open","2022-01-15 22:36:43+05:30","2022-01-15 22:36:43+05:30"
"Sambalpur","InstallationofWatersupplystreetPost","pipe not installation ","open","2022-01-15 22:40:23+05:30","2022-01-17 19:21:29+05:30"
"Puri","PaymentofBills","daraji pokhari chhak,Puri","open","2022-01-16 20:29:13+05:30","2022-01-16 20:29:13+05:30"
"Puri","PropertyTaxHoldingTaxrelatedAnyothergrievance"," paid the bill for holding tax no acknowledgement received . System let us wait for fifteen minutes and nothing forthcame , Trans details attached in uploaded photo","open","2022-01-16 20:34:44+05:30","2022-01-16 20:34:44+05:30"
"Berhampur","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","I have paid rs. 4000 for new trade licence my Application No.  is TL BAM 2022 01 17 005374 but not receive any receipt or provisional certificate","open","2022-01-17 13:14:58+05:30","2022-01-17 13:14:58+05:30"
"Berhampur","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","APPLICATION NO. TL BAM 2022 01 17 005374","open","2022-01-17 13:53:52+05:30","2022-01-17 13:53:52+05:30"
"Vyasanagar","DelayinRectificationinMarriageRegistration","Unable to save after edit","open","2022-01-18 09:47:59+05:30","2022-01-18 09:47:59+05:30"
"Vyasanagar","DelayinIssuanceofMarriageCertificate","After 3months also I am unable to get marriage certificate. Informed to helpdesk before 10days, but received any answer. Unable to save after editing. ","open","2022-01-18 09:55:47+05:30","2022-01-18 09:55:47+05:30"
"Cuttack","Damageoffootpath","footpath damage near unit 1","open","2022-01-18 10:09:22+05:30","2022-01-18 10:09:22+05:30"
"Cuttack","Damageoffootpath","ABCD","open","2022-01-18 11:20:59+05:30","2022-01-18 11:20:59+05:30"
"Berhampur","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Amount debited but not showing in portal","open","2022-01-18 19:00:33+05:30","2022-01-18 19:00:33+05:30"
"Paradeep","Drainchocking","Drain Chock","open","2022-01-19 17:18:52+05:30","2022-01-19 17:18:52+05:30"
